old_city,new_city
Ramosview,New William
Phillipsburgh,Lawsonfort
South Anna,Laurenville
Andrewburgh,New Allison
Anneton,Robbinsside
South Candicemouth,North Brandon
South Pennyside,East Austin
Lake Katrina,Perkinsville
Jessicaview,Johnsonton
Scottmouth,Harveyton
West Joshuaville,East Justin
New Ian,Butlerstad
East Sarah,New Jennifermouth
Allisonville,Kellyberg
Hayschester,South Tiffany
Rebeccachester,New Thomastown
Port Julia,Lake Tinahaven
Castroland,Estradamouth
North Debra,Lake Justin
Lake Clintonmouth,Thompsonbury
Claudiabury,North Gregory
North Matthew,Andrewstad
East Valeriefort,New Lisafort
Youngview,Robertberg
Port Markfurt,Lanemouth
Normastad,Carlsonborough
Lake Jeremy,Kristinburgh
West Mistyville,West Claytonbury
Stoneport,Nicholsside
New Danielborough,Cunninghamview
Lawsonmouth,West Daniel
Garciahaven,Michaelstad
North Theresa,North Derek
New Carlos,North Amyfurt
Sandrabury,West Jane
Foxfurt,Garzaborough
Josephville,New Monica
North Jonathantown,Petersberg
Andrewside,South Kimberly
Deannafurt,Lake Hannahburgh
West Alanfurt,West Kayla
Port Kelly,Owenshire
East Heather,Robinsonview
Port Juanton,Lake Jamesbury
Arthurmouth,Carlbury
Port Deannahaven,Crawfordmouth
New Julie,East Dana
Fosterport,Stephenchester
Blackside,Guerreroside
Armstrongborough,New Juan
East Clifford,West Mariamouth
Josephburgh,Jeffreytown
Nealville,North Robert
Lake Darrell,North Theresamouth
Bennettfort,North Patrick
Wangfurt,Fullerside
Karenberg,North Danaview
Torresmouth,Ralphmouth
Stephensonhaven,Perezfort
Port Seth,New Randy
Briannamouth,Port Jenniferport
South Matthewton,Tyronefort
Danielview,Zacharybury
Juliastad,South Jamie
Garciamouth,New Mitchellside
Lake Jonathanburgh,East Jennamouth
North Ian,Martinezhaven
Michelleshire,North Marthaview
North Scott,North Ryan
North Phillip,Kimberlyside
Daniellebury,Obrienchester
West Jenniferport,Reedmouth
West Jillian,Allenshire
South Joannebury,South Wesleyhaven
East Kimberly,Matthewtown
Pruittville,Port Franciscostad
Brianburgh,North Ryanburgh
East Jodiborough,Morganland
Lake Christopher,Warrenview
North Cherylmouth,South Georgemouth
Hoopermouth,Samuelburgh
New Kimberly,Randystad
Lake Chadborough,North Maryville
North Mary,Robertborough
West Leslie,Gardnerton
New Robinport,Stewartstad
Heidifurt,Wolfetown
Jimeneztown,Port Christophertown
South Kevin,Lake Lauren
Rodriguezmouth,Bradyfort
Sonyaview,Nancymouth
Stoneshire,Lisaside
Theodorehaven,Michaelview
Port Donaldfurt,South Jonathanchester
Brettberg,Klineview
Whiteton,New Carriechester
Sonyafurt,New Kenneth
Smithbury,New Mary
Lake Susan,New Evan
South Nicolefort,Jenniferville
